Id,Label,modularity_class,indegree,outdegree,Degree,pageranks,eigencentrality,stat_inf_class,componentnumber,strongcompnum,weighted indegree,weighted outdegree,Weighted Degree,clustering,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
40enron,,2,0,3,3,0.000167,0,0,0,1152,0,3,3,0.5,4,0.332852,0.348072,0
louise.kitchen,,1,171,158,329,0.016849,1,1,0,1151,171,158,329,0.018361,4,0.459256,0.496946,330320.090242
richard.shapiro,,6,174,187,361,0.015946,0.817908,0,0,1151,174,187,361,0.01262,4,0.398386,0.446922,235540.946326
rick.buy,,2,86,41,127,0.007021,0.457953,0,0,1151,86,41,127,0.039755,4,0.367405,0.393925,63376.774098
a..howard,,0,2,3,5,0.000356,0.019747,0,0,1151,2,3,5,1,5,0.279026,0.296577,0
rod.hayslett,,0,60,55,115,0.008912,0.115655,0,0,1151,60,55,115,0.011064,5,0.306941,0.334346,100684.242368
shelley.corman,,0,78,171,249,0.010425,0.222803,0,0,1151,78,171,249,0.005973,4,0.371418,0.418796,261820.498444
stanley.horton,,0,53,30,83,0.005809,0.197214,0,0,1151,53,30,83,0.040297,4,0.34389,0.368732,65866.770103
a..martin,,1,3,1,4,0.000363,0.113627,0,0,1151,3,1,4,1,5,0.295863,0.310857,0
john.lavorato,,1,156,178,334,0.016275,0.931938,1,0,1151,156,178,334,0.014071,4,0.420093,0.469785,270573.144671
a..roberts,,4,1,3,4,0.000257,0.044487,0,0,1151,1,3,4,0.75,4,0.316351,0.332731,0
scott.neal,,1,91,70,161,0.011841,0.329945,0,0,1151,91,70,161,0.010684,4,0.325487,0.350329,113714.137907
tim.belden,,4,114,112,226,0.011185,0.680702,0,0,1151,114,112,226,0.017861,4,0.388244,0.423176,164019.185523
a..shankman,,1,3,5,8,0.000383,0.078729,0,0,1151,3,5,8,0.733333,4,0.330993,0.349365,0
greg.whalley,,1,139,13,152,0.011219,0.797725,0,0,1151,139,13,152,0.043566,4,0.330413,0.345227,41142.769585
mike.mcconnell,,2,73,145,218,0.006438,0.379421,0,0,1151,73,145,218,0.017321,3,0.421888,0.461588,148025.8914
adam.johnson,,1,0,3,3,0.000167,0,0,0,1153,0,3,3,0.5,5,0.318056,0.331373,0
adam.umanoff,,0,1,1,2,0.000331,0.010259,0,0,1151,1,1,2,0,5,0.255923,0.265212,0
adarsh.vakharia,,2,0,3,3,0.000167,0,0,0,1154,0,3,3,0.666667,4,0.310768,0.340643,0
jeff.skilling,,2,55,9,64,0.003381,0.280937,0,0,1151,55,9,64,0.051971,5,0.297561,0.30843,13008.474288
sally.beck,,3,157,587,744,0.019106,0.572097,0,0,1151,157,587,744,0.001536,4,0.436632,0.550546,697315.79849
adnan.patel,,5,1,1,2,0.000246,0.035042,0,0,1151,1,1,2,0,5,0.269806,0.287825,0
tana.jones,,5,184,261,445,0.024359,0.749924,0,0,1151,184,261,445,0.005518,4,0.369434,0.43081,309489.66737
adriane.schultea,,5,0,1,1,0.000167,0,0,0,1155,0,1,1,0,5,0.269866,0.287928,0
adrianne.engler,,1,0,3,3,0.000167,0,0,0,1156,0,3,3,0.833333,4,0.324726,0.340161,0
airam.arteaga,,1,1,1,2,0.000311,0.016318,0,0,1151,1,1,2,0,5,0.245589,0.254147,0
alan.aronowitz,,4,6,7,13,0.000783,0.162241,0,0,1151,6,7,13,0.410714,4,0.344232,0.364392,5268.689079
elizabeth.sager,,4,107,62,169,0.010287,0.595156,1,0,1151,107,62,169,0.033524,4,0.386868,0.413613,90453.198076
mark.haedicke,,4,110,48,158,0.010621,0.697235,1,0,1151,110,48,158,0.040152,4,0.382869,0.406863,87437.028729
mark.taylor,,5,158,124,282,0.019354,0.777375,0,0,1151,158,124,282,0.01704,4,0.364115,0.402202,162139.807594
sara.shackleton,,5,155,174,329,0.023735,0.609964,0,0,1151,155,174,329,0.008474,4,0.363095,0.409113,206975.642959
alan.comnes,,1,4,7,11,0.000477,0.140586,0,0,1151,4,7,11,0.833333,4,0.364179,0.38605,0
jeff.dasovich,,6,161,240,401,0.016402,0.668939,0,0,1151,161,240,401,0.007913,3,0.407706,0.463115,308035.305773
steven.kean,,6,212,185,397,0.020582,0.890735,1,0,1151,212,185,397,0.013853,3,0.427365,0.473079,380846.986537
alan.larsen,,8,1,1,2,0.000238,0.015202,0,0,1151,1,1,2,0,5,0.264507,0.276406,0
kay.mann,,8,97,154,251,0.012997,0.293314,0,0,1151,97,154,251,0.006308,4,0.35957,0.398907,202189.873551
albert.escamilla,,5,0,1,1,0.000167,0,0,0,1157,0,1,1,0,5,0.269866,0.287928,0
alberto.levy,,6,1,1,2,0.000239,0.037334,0,0,1151,1,1,2,0,5,0.284929,0.299333,0
aleck.dadson,,6,3,3,6,0.000392,0.110342,0,0,1151,3,3,6,0.833333,4,0.336579,0.356718,0
alejandra.chavez,,1,1,1,2,0.000194,0.027855,0,0,1151,1,1,2,0.5,5,0.245647,0.254267,0
alex.huang,,7,1,1,2,0.000268,0.020029,0,0,1151,1,1,2,0,5,0.290884,0.305135,0
vince.kaminski,,7,120,168,288,0.019979,0.39233,0,0,1151,120,168,288,0.009243,4,0.410125,0.457289,295052.670984
alhamd.alkhayat,,2,2,3,5,0.000299,0.059374,0,0,1151,2,3,5,0.5,4,0.300101,0.314208,0
alice.wright,,4,2,2,4,0.00038,0.041818,0,0,1151,2,2,4,1,4,0.287656,0.301953,0
alicia.goodrow,,5,1,1,2,0.000246,0.035042,0,0,1151,1,1,2,0,5,0.269806,0.287825,0
allan.sommer,,2,1,1,2,0.000204,0.017614,0,0,1151,1,1,2,1,5,0.304016,0.334884,0
allison.navin,,4,1,5,6,0.000225,0.031248,0,0,1151,1,5,6,0.6,4,0.331681,0.355955,262.339812
alma.carrillo,,0,1,1,2,0.000219,0.012282,0,0,1151,1,1,2,0,5,0.270863,0.285431,0
althea.gordon,,7,0,1,1,0.000167,0,0,0,1158,0,1,1,0,5,0.290942,0.305229,0
amanda.rybarski,,1,0,2,2,0.000167,0,0,0,1159,0,2,2,1,5,0.297662,0.314402,0
amber.ebow,,5,1,1,2,0.000246,0.035042,0,0,1151,1,1,2,0,5,0.269806,0.287825,0
amber.keenan,,6,1,1,2,0.000239,0.037334,0,0,1151,1,1,2,0,5,0.284929,0.299333,0
amita.gosalia,,1,3,2,5,0.000418,0.107531,0,0,1151,3,2,5,0.666667,5,0.3222,0.335792,133.284124
amitava.dhar,,7,1,1,2,0.000268,0.020029,0,0,1151,1,1,2,0,5,0.290884,0.305135,0
amr.ibrahim,,6,1,2,3,0.000239,0.037334,0,0,1151,1,2,3,1,4,0.299538,0.319873,0
amy.bundscho,,6,0,1,1,0.000167,0,0,0,1160,0,1,1,0,4,0.299509,0.312771,0
amy.fabian,,5,0,2,2,0.000167,0,0,0,1161,0,2,2,0,4,0.318008,0.333855,0
amy.fitzpatrick,,4,3,3,6,0.000404,0.089507,0,0,1151,3,3,6,0.416667,5,0.328216,0.342904,420.440122
amy.oberg,,2,1,3,4,0.000268,0.020029,0,0,1151,1,3,4,0.666667,4,0.328997,0.344624,0
andrea.bertone,,5,1,1,2,0.000283,0.028847,0,0,1151,1,1,2,0,5,0.26641,0.280456,0
andrea.yowman,,4,1,5,6,0.000229,0.014775,0,0,1151,1,5,6,0.15,4,0.373223,0.399912,2820.322713
michelle.cash,,4,55,66,121,0.004822,0.318888,0,0,1151,55,66,121,0.022617,4,0.349158,0.371826,76535.09448
andrew.cornfield,,3,0,1,1,0.000167,0,0,0,1162,0,1,1,0,5,0.304029,0.334884,0
andrew.edison,,4,2,2,4,0.000552,0.047486,0,0,1151,2,2,4,0,4,0.285321,0.297854,341.47212
gerald.nemec,,8,137,111,248,0.025735,0.289918,0,0,1151,137,111,248,0.002043,4,0.348923,0.376487,241236.418574
andrew.miles,,7,2,1,3,0.000465,0.03674,0,0,1151,2,1,3,0,5,0.2587,0.26706,3001.545746
andrew.parsons,,1,1,4,5,0.000194,0.027855,0,0,1151,1,4,5,0.75,4,0.345551,0.360897,540.438384
andrew.wu,,5,1,2,3,0.000225,0.031248,0,0,1151,1,2,3,0,4,0.310619,0.329878,242.336857
andy.rodriquez,,6,1,1,2,0.000239,0.037334,0,0,1151,1,1,2,0,5,0.284929,0.299333,0
andy.zipper,,1,6,5,11,0.001308,0.219822,0,0,1151,6,5,11,0.5,4,0.332692,0.350611,2454.877005
aneela.charania,,5,2,1,3,0.00031,0.056701,0,0,1151,2,1,3,0,5,0.26641,0.280456,452.278417
angela.davis,,4,4,4,8,0.000585,0.143565,0,0,1151,4,4,8,0.7,5,0.338557,0.35765,596.985455
angela.wilson,,6,0,4,4,0.000167,0,0,0,1163,0,4,4,0.916667,4,0.319378,0.346627,0
angie.buis,,6,0,1,1,0.000167,0,0,0,1164,0,1,1,0,4,0.289724,0.305582,0
anita.dupont,,7,1,1,2,0.000268,0.020029,0,0,1151,1,1,2,0,5,0.290884,0.305135,0
anita.luong,,3,0,1,1,0.000167,0,0,0,1165,0,1,1,0,5,0.304029,0.334884,0
anjam.ahmad,,7,1,1,2,0.000268,0.020029,0,0,1151,1,1,2,0,5,0.290884,0.305135,0
ann.ballard,,8,0,1,1,0.000167,0,0,0,1166,0,1,1,0,5,0.25876,0.267173,0
ann.hill,,6,0,1,1,0.000167,0,0,0,1167,0,1,1,0,5,0.284988,0.29943,0
ann.schmidt,,6,1,3,4,0.000261,0.04176,0,0,1151,1,3,4,1,4,0.311131,0.333896,0
ann.white,,8,3,2,5,0.000568,0.067102,0,0,1151,3,2,5,0.166667,5,0.276349,0.292398,1726.78364
anna.mehrer,,4,1,1,2,0.000252,0.030244,0,0,1151,1,1,2,0,5,0.279703,0.29055,0
anne.koehler,,4,5,1,6,0.000629,0.129055,0,0,1151,5,1,6,0.55,5,0.266958,0.279026,48.716893
anne.labbe,,1,1,2,3,0.000268,0.020029,0,0,1151,1,2,3,0.666667,5,0.297646,0.314392,168.790618
annemarie.allex,,3,0,1,1,0.000167,0,0,0,1168,0,1,1,0,5,0.304029,0.334884,0
anthony.campos,,5,2,1,3,0.000274,0.062897,0,0,1151,2,1,3,0,5,0.269806,0.287825,383.006192
anthony.dayao,,1,1,1,2,0.000194,0.027855,0,0,1151,1,1,2,1,5,0.295905,0.310937,0
aparna.rajaram,,5,0,1,1,0.000167,0,0,0,1169,0,1,1,0,5,0.269866,0.287928,0
april.hrach,,6,0,1,1,0.000167,0,0,0,1170,0,1,1,0,4,0.289724,0.305582,0
araceli.romero,,1,0,3,3,0.000167,0,0,0,1171,0,3,3,0.166667,5,0.284286,0.298924,0
arvel.martin,,8,1,1,2,0.000364,0.016711,0,0,1151,1,1,2,0,5,0.2587,0.26706,0
ashley.baxter,,7,1,1,2,0.000268,0.020029,0,0,1151,1,1,2,0,5,0.290884,0.305135,0
audrey.robertson,,0,0,1,1,0.000167,0,0,0,1172,0,1,1,0,5,0.270923,0.285534,0
barbara.gray,,5,5,1,6,0.000819,0.112652,0,0,1151,5,1,6,0.45,5,0.2587,0.26706,1033.601569
barry.pearce,,3,1,1,2,0.000194,0.027855,0,0,1151,1,1,2,0,5,0.303972,0.334804,0
barry.tycholiz,,1,4,4,8,0.00059,0.133731,0,0,1151,4,4,8,0.333333,4,0.357401,0.374478,7467.43293
barton.clark,,8,4,2,6,0.000472,0.096705,0,0,1151,4,2,6,0.333333,5,0.280157,0.298746,2191.880813
becky.merola,,6,0,2,2,0.000167,0,0,0,1173,0,2,2,1,4,0.304788,0.32257,0
becky.pham,,7,1,1,2,0.000268,0.020029,0,0,1151,1,1,2,0,5,0.290884,0.305135,0
becky.spencer,,4,3,8,11,0.000495,0.099078,0,0,1151,3,8,11,0.482143,4,0.320507,0.351374,2019.656293
ben.glisan,,2,3,1,4,0.000428,0.065638,0,0,1151,3,1,4,0.583333,5,0.248443,0.254364,0
ben.jacoby,,8,3,3,6,0.000407,0.100974,0,0,1151,3,3,6,0.5,4,0.346128,0.3617,2934.276751
benjamin.parsons,,7,1,1,2,0.000268,0.020029,0,0,1151,1,1,2,0,5,0.290884,0.305135,0
bernadette.hawkins,,2,2,8,10,0.000334,0.079094,0,0,1151,2,8,10,0.607143,4,0.365785,0.391313,344.22066
bernice.rodriguez,,2,4,1,5,0.000428,0.109357,0,0,1151,4,1,5,0.333333,5,0.269806,0.287825,636.007748
bert.hernandez,,0,0,1,1,0.000167,0,0,0,1174,0,1,1,0,5,0.270923,0.285534,0
beth.apollo,,3,1,1,2,0.000194,0.027855,0,0,1151,1,1,2,0,5,0.303972,0.334804,0
beth.perlman,,1,5,1,6,0.000502,0.15127,0,0,1151,5,1,6,0.85,5,0.303972,0.334804,0
beverly.stephens,,4,0,6,6,0.000167,0,0,0,1175,0,6,6,0.533333,4,0.36194,0.392892,0
bill.donovan,,6,1,1,2,0.000261,0.04176,0,0,1151,1,1,2,0,4,0.299451,0.312681,0
bill.williams,,4,2,2,4,0.000323,0.045447,0,0,1151,2,2,4,0,4,0.29739,0.314047,1350.373913
billy.dorsey,,0,0,5,5,0.000167,0,0,0,1176,0,5,5,0.4,4,0.341059,0.360683,0
billy.lemmons,,2,1,11,12,0.000261,0.04176,0,0,1151,1,11,12,0.481818,4,0.38963,0.415421,2447.431576
kenneth.lay,,2,70,52,122,0.005391,0.360731,0,0,1151,70,52,122,0.045671,4,0.388972,0.421287,64625.13197
bjorn.hagelmann,,2,1,2,3,0.000268,0.020029,0,0,1151,1,2,3,0.666667,5,0.30518,0.337094,0
bob.ambrocik,,2,0,3,3,0.000167,0,0,0,1177,0,3,3,0,4,0.271277,0.282209,0
bob.bowen,,5,4,2,6,0.000523,0.126932,0,0,1151,4,2,6,0.5,5,0.273362,0.293812,516.290316
bob.carter,,8,1,1,2,0.000238,0.015202,0,0,1151,1,1,2,0,5,0.264507,0.276406,0
bob.chandler,,0,2,1,3,0.000356,0.019747,0,0,1151,2,1,3,1,6,0.234881,0.245251,0
bob.hall,,0,3,1,4,0.00039,0.056455,0,0,1151,3,1,4,0.166667,5,0.303972,0.334804,9918.879754
bob.lee,,7,1,1,2,0.000268,0.020029,0,0,1151,1,1,2,0,5,0.290884,0.305135,0
bob.shults,,5,4,4,8,0.000497,0.142573,0,0,1151,4,4,8,0.666667,4,0.360257,0.388983,4587.653726
bobbie.power,,0,0,8,8,0.000167,0,0,0,1178,0,8,8,0.375,4,0.33861,0.355743,0
body.shop,,8,0,1,1,0.000167,0,0,0,1179,0,1,1,0,5,0.25876,0.267173,0
brad.richter,,1,2,2,4,0.000285,0.072342,0,0,1151,2,2,4,0.666667,4,0.338557,0.350611,540.438384
brad.schneider,,5,1,1,2,0.000246,0.035042,0,0,1151,1,1,2,0,5,0.269806,0.287825,0
bradley.diebner,,5,2,2,4,0.000274,0.062897,0,0,1151,2,2,4,0.333333,5,0.273362,0.293812,516.290316
bradley.holmes,,0,1,1,2,0.000219,0.012282,0,0,1151,1,1,2,0,5,0.270863,0.285431,0
brandee.jackson,,1,1,1,2,0.000194,0.027855,0,0,1151,1,1,2,0.5,5,0.245647,0.254267,0
brant.reves,,8,3,3,6,0.000559,0.0806,0,0,1151,3,3,6,0.333333,4,0.289624,0.313846,2033.061817
brenda.funk,,5,1,1,2,0.000283,0.028847,0,0,1151,1,1,2,0,5,0.26641,0.280456,0
brenda.herod,,3,1,1,2,0.000194,0.027855,0,0,1151,1,1,2,0,5,0.303972,0.334804,0
brenda.whitehead,,4,2,10,12,0.000441,0.061805,0,0,1151,2,10,12,0.377778,4,0.354591,0.383076,1399.771868
brendan.devlin,,6,1,1,2,0.000239,0.037334,0,0,1151,1,1,2,0,5,0.284929,0.299333,0
brent.hendry,,5,3,3,6,0.000495,0.099078,0,0,1151,3,3,6,1,5,0.279703,0.303857,0
brent.price,,1,2,3,5,0.000232,0.045469,0,0,1151,2,3,5,0.666667,4,0.327233,0.357321,0
brian.barto,,8,1,1,2,0.000238,0.015202,0,0,1151,1,1,2,0,5,0.264507,0.276406,0
brian.heinrich,,3,1,1,2,0.000194,0.027855,0,0,1151,1,1,2,0,5,0.303972,0.334804,0
brian.hendon,,8,1,1,2,0.000364,0.016711,0,0,1151,1,1,2,0,5,0.2587,0.26706,0
brian.kerrigan,,8,2,1,3,0.000318,0.050244,0,0,1151,2,1,3,0.666667,5,0.266444,0.280537,0
brian.redmond,,4,4,8,12,0.00056,0.130338,0,0,1151,4,8,12,0.5,4,0.399692,0.42406,24051.477727
brian.spector,,6,0,1,1,0.000167,0,0,0,1180,0,1,1,0,4,0.289724,0.305582,0
bridgette.anderson,,5,1,1,2,0.000246,0.035042,0,0,1151,1,1,2,0,5,0.269806,0.287825,0
britt.whitman,,1,0,5,5,0.000167,0,0,0,1181,0,5,5,0.9,4,0.3585,0.378876,0
bruce.garner,,5,1,1,2,0.000204,0.017614,0,0,1151,1,1,2,0,5,0.267027,0.279147,90.17465
bruce.harris,,5,1,2,3,0.000283,0.028847,0,0,1151,1,2,3,1,5,0.27646,0.298875,0
bruce.rudy,,8,1,1,2,0.000364,0.016711,0,0,1151,1,1,2,0,5,0.2587,0.26706,0
bruno.gaillard,,6,3,3,6,0.000392,0.110342,0,0,1151,3,3,6,1,4,0.311131,0.333896,0
bryan.gottfredson,,6,1,2,3,0.000239,0.037334,0,0,1151,1,2,3,1,4,0.299538,0.319873,0
bryan.seyfried,,7,3,2,5,0.000491,0.099706,0,0,1151,3,2,5,0.666667,4,0.312114,0.32819,1812.385491
buckley,,1,0,1,1,0.000167,0,0,0,1182,0,1,1,0,5,0.295921,0.310948,0
c..gossett,,1,2,2,4,0.000285,0.072342,0,0,1151,2,2,4,1,4,0.322701,0.336789,0
c..hall,,4,0,1,1,0.000167,0,0,0,1183,0,1,1,0,5,0.279763,0.290651,0
c..koehler,,1,3,3,6,0.000453,0.108376,0,0,1151,3,3,6,0.666667,5,0.334894,0.352105,261.879007
c..williams,,6,1,2,3,0.000225,0.031248,0,0,1151,1,2,3,1,4,0.299538,0.319873,0
calger,,1,0,1,1,0.000167,0,0,0,1184,0,1,1,0,5,0.295921,0.310948,0
calvin.eakins,,2,0,1,1,0.000167,0,0,0,1185,0,1,1,0,5,0.28014,0.291422,0
camille.gerard,,5,1,1,2,0.000246,0.035042,0,0,1151,1,1,2,0,5,0.269806,0.287825,0
candace.bywaters,,8,0,1,1,0.000167,0,0,0,1186,0,1,1,0,5,0.25876,0.267173,0
cara.semperger,,4,1,1,2,0.000252,0.030244,0,0,1151,1,1,2,0,5,0.279703,0.29055,0
carin.nersesian,,6,1,1,2,0.000239,0.037334,0,0,1151,1,1,2,1,4,0.299495,0.312761,0
carl.carter,,8,1,1,2,0.000364,0.016711,0,0,1151,1,1,2,0.5,5,0.267027,0.279147,0
carla.galvan,,6,0,1,1,0.000167,0,0,0,1187,0,1,1,0,4,0.299509,0.312771,0
carla.hoffman,,4,1,1,2,0.000252,0.030244,0,0,1151,1,1,2,0,5,0.279703,0.29055,0
carlos.alatorre,,4,2,3,5,0.00048,0.045558,0,0,1151,2,3,5,0.416667,4,0.293311,0.31027,451.149506
carlos.sole,,8,1,1,2,0.000238,0.015202,0,0,1151,1,1,2,0,5,0.264507,0.276406,0
carmen.perez,,6,1,2,3,0.000239,0.037334,0,0,1151,1,2,3,1,4,0.299538,0.319873,0
carol.clair,,4,5,5,10,0.000824,0.156469,0,0,1151,5,5,10,0.733333,5,0.340335,0.360383,559.832693
carol.coats,,1,1,4,5,0.000268,0.020029,0,0,1151,1,4,5,0.666667,4,0.320556,0.34141,378.525204
carol.st.,,4,2,4,6,0.000424,0.055463,0,0,1151,2,4,6,0.666667,5,0.339055,0.358374,300.788258
caroline.abramo,,5,1,1,2,0.000283,0.028847,0,0,1151,1,1,2,0,5,0.26641,0.280456,0
caroline.barnes,,0,2,2,4,0.000356,0.019747,0,0,1151,2,2,4,1,5,0.272214,0.288645,0
carolyn.cooney,,6,1,2,3,0.000239,0.037334,0,0,1151,1,2,3,1,4,0.304731,0.322485,0
carolyn.george,,4,1,8,9,0.000238,0.015202,0,0,1151,1,8,9,0.482143,4,0.320507,0.351374,510.018645
carolyn.green,,6,0,1,1,0.000167,0,0,0,1188,0,1,1,0,4,0.299509,0.312771,0
carrie.robert,,6,0,1,1,0.000167,0,0,0,1189,0,1,1,0,4,0.299509,0.312771,0
cassandra.schultz,,0,2,7,9,0.00034,0.049011,0,0,1151,2,7,9,0.214286,4,0.376338,0.403046,3989.642952
cassi.wallace,,1,0,1,1,0.000167,0,0,0,1190,0,1,1,0,5,0.248443,0.254361,0
catherine.clark,,8,2,3,5,0.000318,0.050244,0,0,1151,2,3,5,0.666667,4,0.289827,0.315212,596.460944
catherine.huynh,,4,1,1,2,0.000229,0.014775,0,0,1151,1,1,2,0,5,0.258829,0.266313,0
cathy.phillips,,7,3,3,6,0.000333,0.065498,0,0,1151,3,3,6,0.666667,4,0.33484,0.367968,827.416994
celeste.roberts,,2,4,1,5,0.000428,0.107258,0,0,1151,4,1,5,0.666667,5,0.290884,0.305135,448.89179
chance.rabon,,1,0,1,1,0.000167,0,0,0,1191,0,1,1,0,5,0.245649,0.254265,0
charla.reese,,2,0,2,2,0.000167,0,0,0,1192,0,2,2,1,4,0.326412,0.340442,0
charla.stuart,,3,0,1,1,0.000167,0,0,0,1193,0,1,1,0,5,0.304029,0.334884,0
charlene.jackson,,2,5,3,8,0.000506,0.148543,0,0,1151,5,3,8,0.6,4,0.353141,0.378255,2642.554924
charles.cheek,,4,0,1,1,0.000167,0,0,0,1194,0,1,1,0,5,0.276962,0.285068,0
charles.yeung,,6,2,2,4,0.000334,0.079094,0,0,1151,2,2,4,1,4,0.304731,0.322485,0
cheryl.johnson,,5,1,2,3,0.000246,0.035042,0,0,1151,1,2,3,1,5,0.273362,0.293812,0
cheryl.marshall,,8,0,1,1,0.000167,0,0,0,1195,0,1,1,0,5,0.25876,0.267173,0
cheryl.nelson,,5,3,3,6,0.000495,0.099078,0,0,1151,3,3,6,1,5,0.279703,0.303857,0
chip.schneider,,2,3,4,7,0.000475,0.080845,0,0,1151,3,4,7,0.416667,4,0.338281,0.355272,4151.056452
chonawee.supatgiat,,7,1,1,2,0.000268,0.020029,0,0,1151,1,1,2,0,5,0.290884,0.305135,0
chris.abel,,2,2,10,12,0.000272,0.069139,0,0,1151,2,10,12,0.555556,4,0.370688,0.402563,867.851929
chris.booth,,8,1,1,2,0.000238,0.015202,0,0,1151,1,1,2,0,5,0.264507,0.276406,0
chris.dorland,,1,1,1,2,0.000244,0.041285,0,0,1151,1,1,2,0,5,0.295863,0.310857,0
chris.foster,,1,4,3,7,0.000503,0.131623,0,0,1151,4,3,7,0.416667,4,0.319372,0.342735,7171.08441
chris.gaffney,,4,4,3,7,0.000708,0.127622,0,0,1151,4,3,7,0.833333,5,0.299798,0.319158,162.557635
chris.germany,,8,3,2,5,0.00046,0.072805,0,0,1151,3,2,5,0.333333,5,0.277088,0.291996,4268.386876
chris.hilgert,,8,1,1,2,0.000364,0.016711,0,0,1151,1,1,2,0,5,0.2587,0.26706,0
chris.long,,2,3,6,9,0.000467,0.114283,0,0,1151,3,6,9,0.5,4,0.355624,0.372589,3582.406847
chris.mahoney,,2,1,1,2,0.000204,0.017614,0,0,1151,1,1,2,0,4,0.296752,0.308542,0
